QueryIDs	chembl_id	molregno	PubChem_ID	DrugBank_ID	Drug_Name	MOA	Action_Type	First_Approval	ChEMBL_TID	TID	UniProt_ID	Desc	Organism	Mesh_Indication	hgnc_symbol	module	WTCS
P35968	NA	NA	NA	NA	AXITINIB	Vascular endothelial growth factor receptor inhibitor	INHIBITOR	2012	CHEMBL2095227	104799	P35968	Vascular endothelial growth factor receptor 2	Homo sapiens	D000306: Adrenal Cortex Neoplasms,D001661: Biliary Tract Neoplasms,D001752: Blast Crisis,D001943: Breast Neoplasms,D002276: Carcinoid Tumor,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D003528: Carcinoma, Adenoid Cystic,D004715: Endometriosis,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D007680: Kidney Neoplasms,D008545: Melanoma,D008654: Mesothelioma,D009190: Myelodysplastic Syndromes,D009303: Nasopharyngeal Neoplasms,D009369: Neoplasms,D010190: Pancreatic Neoplasms,D011471: Prostatic Neoplasms,D012468: Salivary Gland Neoplasms,D012509: Sarcoma,D013274: Stomach Neoplasms,D013964: Thyroid Neoplasms,D015179: Colorectal Neoplasms,D015470: Leukemia, Myeloid, Acute,D016889: Endometrial Neoplasms,D018234: Sarcoma, Alveolar Soft Part,D018316: Gliosarcoma,D021441: Carcinoma, Pancreatic Ductal,D046152: Gastrointestinal Stromal Tumors,D054364: Solitary Fibrous Tumors,D064129: Prostatic Neoplasms, Castration-Resistant	KDR	M1	-0.317525918303734
P23975	NA	NA	NA	NA	PHENTERMINE	Norepinephrine transporter releasing agent	RELEASING AGENT	1959	CHEMBL222	100	P23975	Sodium-dependent noradrenaline transporter	Homo sapiens	D003920: Diabetes Mellitus,D007674: Kidney Diseases,D008107: Liver Diseases,D009765: Obesity,D009767: Obesity, Morbid,D019966: Substance-Related Disorders,D052018: Bulimia Nervosa	SLC6A2	M1	-0.308290239820601
Q14654	NA	NA	NA	NA	TOLAZAMIDE	Sulfonylurea receptor 1, Kir6.2 blocker	BLOCKER	1966	CHEMBL2096972	104852	Q14654	ATP-sensitive inward rectifier potassium channel 11	Homo sapiens	D003920: Diabetes Mellitus,D003924: Diabetes Mellitus, Type 2	KCNJ11	M1	-0.304753241722003
Q14654	NA	NA	NA	NA	DIAZOXIDE	Potassium channel, inwardly rectifying, subfamily J, member 11 opener	OPENER	1973	CHEMBL1886	285	Q14654	ATP-sensitive inward rectifier potassium channel 11	Homo sapiens	D003866: Depressive Disorder,D003924: Diabetes Mellitus, Type 2,D006946: Hyperinsulinism,D006973: Hypertension,D007003: Hypoglycemia,D009765: Obesity	KCNJ11	M1	-0.325093588902554
Q09428	NA	NA	NA	NA	TOLAZAMIDE	Sulfonylurea receptor 1, Kir6.2 blocker	BLOCKER	1966	CHEMBL2096972	104852	Q09428	ATP-binding cassette sub-family C member 8	Homo sapiens	D003920: Diabetes Mellitus,D003924: Diabetes Mellitus, Type 2	ABCC8	M1	-0.304753241722003
P21917	NA	NA	NA	NA	CHLORPROMAZINE	D2-like dopamine receptor antagonist	ANTAGONIST	1957	CHEMBL2331075	105671	P21917	D(4) dopamine receptor	Homo sapiens	D003693: Delirium,D005909: Glioblastoma,D009357: Neonatal Abstinence Syndrome,D011618: Psychotic Disorders,D012559: Schizophrenia,D045169: Severe Acute Respiratory Syndrome	DRD4	M4	-0.331620513668982
P17948	NA	NA	NA	NA	AXITINIB	Vascular endothelial growth factor receptor inhibitor	INHIBITOR	2012	CHEMBL2095227	104799	P17948	Vascular endothelial growth factor receptor 1	Homo sapiens	D000306: Adrenal Cortex Neoplasms,D001661: Biliary Tract Neoplasms,D001752: Blast Crisis,D001943: Breast Neoplasms,D002276: Carcinoid Tumor,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D003528: Carcinoma, Adenoid Cystic,D004715: Endometriosis,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D007680: Kidney Neoplasms,D008545: Melanoma,D008654: Mesothelioma,D009190: Myelodysplastic Syndromes,D009303: Nasopharyngeal Neoplasms,D009369: Neoplasms,D010190: Pancreatic Neoplasms,D011471: Prostatic Neoplasms,D012468: Salivary Gland Neoplasms,D012509: Sarcoma,D013274: Stomach Neoplasms,D013964: Thyroid Neoplasms,D015179: Colorectal Neoplasms,D015470: Leukemia, Myeloid, Acute,D016889: Endometrial Neoplasms,D018234: Sarcoma, Alveolar Soft Part,D018316: Gliosarcoma,D021441: Carcinoma, Pancreatic Ductal,D046152: Gastrointestinal Stromal Tumors,D054364: Solitary Fibrous Tumors,D064129: Prostatic Neoplasms, Castration-Resistant	FLT1	M4	-0.317525918303734
P28223	NA	NA	NA	NA	CHLORPROMAZINE	Serotonin 2a (5-HT2a) receptor antagonist	ANTAGONIST	1957	CHEMBL224	107	P28223	5-hydroxytryptamine receptor 2A	Homo sapiens	D003693: Delirium,D005909: Glioblastoma,D009357: Neonatal Abstinence Syndrome,D011618: Psychotic Disorders,D012559: Schizophrenia,D045169: Severe Acute Respiratory Syndrome	HTR2A	M4	-0.331620513668982
Q05940	NA	NA	NA	NA	TETRABENAZINE	Synaptic vesicular amine transporter inhibitor	INHIBITOR	2008	CHEMBL1893	162	Q05940	Synaptic vesicular amine transporter	Homo sapiens	D005879: Tourette Syndrome,D006816: Huntington Disease,D009069: Movement Disorders	SLC18A2	M4	-0.319439448992543
P14416	NA	NA	NA	NA	CHLORPROMAZINE	D2-like dopamine receptor antagonist	ANTAGONIST	1957	CHEMBL2331075	105671	P14416	D(2) dopamine receptor	Homo sapiens	D003693: Delirium,D005909: Glioblastoma,D009357: Neonatal Abstinence Syndrome,D011618: Psychotic Disorders,D012559: Schizophrenia,D045169: Severe Acute Respiratory Syndrome	DRD2	M4	-0.331620513668982
P35916	NA	NA	NA	NA	AXITINIB	Vascular endothelial growth factor receptor inhibitor	INHIBITOR	2012	CHEMBL2095227	104799	P35916	Vascular endothelial growth factor receptor 3	Homo sapiens	D000306: Adrenal Cortex Neoplasms,D001661: Biliary Tract Neoplasms,D001752: Blast Crisis,D001943: Breast Neoplasms,D002276: Carcinoid Tumor,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D003528: Carcinoma, Adenoid Cystic,D004715: Endometriosis,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D007680: Kidney Neoplasms,D008545: Melanoma,D008654: Mesothelioma,D009190: Myelodysplastic Syndromes,D009303: Nasopharyngeal Neoplasms,D009369: Neoplasms,D010190: Pancreatic Neoplasms,D011471: Prostatic Neoplasms,D012468: Salivary Gland Neoplasms,D012509: Sarcoma,D013274: Stomach Neoplasms,D013964: Thyroid Neoplasms,D015179: Colorectal Neoplasms,D015470: Leukemia, Myeloid, Acute,D016889: Endometrial Neoplasms,D018234: Sarcoma, Alveolar Soft Part,D018316: Gliosarcoma,D021441: Carcinoma, Pancreatic Ductal,D046152: Gastrointestinal Stromal Tumors,D054364: Solitary Fibrous Tumors,D064129: Prostatic Neoplasms, Castration-Resistant	FLT4	M4	-0.317525918303734
P35462	NA	NA	NA	NA	CHLORPROMAZINE	D2-like dopamine receptor antagonist	ANTAGONIST	1957	CHEMBL2331075	105671	P35462	D(3) dopamine receptor	Homo sapiens	D003693: Delirium,D005909: Glioblastoma,D009357: Neonatal Abstinence Syndrome,D011618: Psychotic Disorders,D012559: Schizophrenia,D045169: Severe Acute Respiratory Syndrome	DRD3	M4	-0.331620513668982
P35968	NA	NA	NA	NA	AXITINIB	Vascular endothelial growth factor receptor inhibitor	INHIBITOR	2012	CHEMBL2095227	104799	P35968	Vascular endothelial growth factor receptor 2	Homo sapiens	D000306: Adrenal Cortex Neoplasms,D001661: Biliary Tract Neoplasms,D001752: Blast Crisis,D001943: Breast Neoplasms,D002276: Carcinoid Tumor,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D003528: Carcinoma, Adenoid Cystic,D004715: Endometriosis,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D007680: Kidney Neoplasms,D008545: Melanoma,D008654: Mesothelioma,D009190: Myelodysplastic Syndromes,D009303: Nasopharyngeal Neoplasms,D009369: Neoplasms,D010190: Pancreatic Neoplasms,D011471: Prostatic Neoplasms,D012468: Salivary Gland Neoplasms,D012509: Sarcoma,D013274: Stomach Neoplasms,D013964: Thyroid Neoplasms,D015179: Colorectal Neoplasms,D015470: Leukemia, Myeloid, Acute,D016889: Endometrial Neoplasms,D018234: Sarcoma, Alveolar Soft Part,D018316: Gliosarcoma,D021441: Carcinoma, Pancreatic Ductal,D046152: Gastrointestinal Stromal Tumors,D054364: Solitary Fibrous Tumors,D064129: Prostatic Neoplasms, Castration-Resistant	KDR	M4	-0.317525918303734
P35354	NA	NA	NA	NA	OXAPROZIN	Cyclooxygenase inhibitor	INHIBITOR	1992	CHEMBL2094253	104725	P35354	Prostaglandin G/H synthase 2	Homo sapiens	D012216: Rheumatic Diseases	PTGS2	M4	-0.323263165280588
P21917	NA	NA	NA	NA	CHLORPROMAZINE	D2-like dopamine receptor antagonist	ANTAGONIST	1957	CHEMBL2331075	105671	P21917	D(4) dopamine receptor	Homo sapiens	D003693: Delirium,D005909: Glioblastoma,D009357: Neonatal Abstinence Syndrome,D011618: Psychotic Disorders,D012559: Schizophrenia,D045169: Severe Acute Respiratory Syndrome	DRD4	M5	-0.331620513668982
Q9Y271	NA	NA	NA	NA	ZAFIRLUKAST	Cysteinyl leukotriene receptor 1 antagonist	ANTAGONIST	1996	CHEMBL1798	179	Q9Y271	Cysteinyl leukotriene receptor 1	Homo sapiens	D001249: Asthma,D001943: Breast Neoplasms,D008173: Lung Diseases, Obstructive,D010051: Ovarian Neoplasms	CYSLTR1	M5	-0.313389213943497
Q05940	NA	NA	NA	NA	TETRABENAZINE	Synaptic vesicular amine transporter inhibitor	INHIBITOR	2008	CHEMBL1893	162	Q05940	Synaptic vesicular amine transporter	Homo sapiens	D005879: Tourette Syndrome,D006816: Huntington Disease,D009069: Movement Disorders	SLC18A2	M5	-0.319439448992543
P10275	NA	NA	NA	NA	DANAZOL	Androgen Receptor agonist	AGONIST	1976	CHEMBL1871	56	P10275	Androgen receptor	Homo sapiens	D000741: Anemia, Aplastic,D004715: Endometriosis,D005199: Fanconi Anemia,D005348: Fibrocystic Breast Disease,D007246: Infertility,D009190: Myelodysplastic Syndromes,D011697: Purpura, Thrombotic Thrombocytopenic,D016553: Purpura, Thrombocytopenic, Idiopathic,D016889: Endometrial Neoplasms,D019871: Dyskeratosis Congenita,D059373: Mastodynia	AR	M5	-0.306026770799964
P35916	NA	NA	NA	NA	AXITINIB	Vascular endothelial growth factor receptor inhibitor	INHIBITOR	2012	CHEMBL2095227	104799	P35916	Vascular endothelial growth factor receptor 3	Homo sapiens	D000306: Adrenal Cortex Neoplasms,D001661: Biliary Tract Neoplasms,D001752: Blast Crisis,D001943: Breast Neoplasms,D002276: Carcinoid Tumor,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D003528: Carcinoma, Adenoid Cystic,D004715: Endometriosis,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D007680: Kidney Neoplasms,D008545: Melanoma,D008654: Mesothelioma,D009190: Myelodysplastic Syndromes,D009303: Nasopharyngeal Neoplasms,D009369: Neoplasms,D010190: Pancreatic Neoplasms,D011471: Prostatic Neoplasms,D012468: Salivary Gland Neoplasms,D012509: Sarcoma,D013274: Stomach Neoplasms,D013964: Thyroid Neoplasms,D015179: Colorectal Neoplasms,D015470: Leukemia, Myeloid, Acute,D016889: Endometrial Neoplasms,D018234: Sarcoma, Alveolar Soft Part,D018316: Gliosarcoma,D021441: Carcinoma, Pancreatic Ductal,D046152: Gastrointestinal Stromal Tumors,D054364: Solitary Fibrous Tumors,D064129: Prostatic Neoplasms, Castration-Resistant	FLT4	M5	-0.317525918303734
Q14654	NA	NA	NA	NA	TOLAZAMIDE	Sulfonylurea receptor 1, Kir6.2 blocker	BLOCKER	1966	CHEMBL2096972	104852	Q14654	ATP-sensitive inward rectifier potassium channel 11	Homo sapiens	D003920: Diabetes Mellitus,D003924: Diabetes Mellitus, Type 2	KCNJ11	M5	-0.304753241722003
Q14654	NA	NA	NA	NA	DIAZOXIDE	Potassium channel, inwardly rectifying, subfamily J, member 11 opener	OPENER	1973	CHEMBL1886	285	Q14654	ATP-sensitive inward rectifier potassium channel 11	Homo sapiens	D003866: Depressive Disorder,D003924: Diabetes Mellitus, Type 2,D006946: Hyperinsulinism,D006973: Hypertension,D007003: Hypoglycemia,D009765: Obesity	KCNJ11	M5	-0.325093588902554
P28223	NA	NA	NA	NA	CHLORPROMAZINE	Serotonin 2a (5-HT2a) receptor antagonist	ANTAGONIST	1957	CHEMBL224	107	P28223	5-hydroxytryptamine receptor 2A	Homo sapiens	D003693: Delirium,D005909: Glioblastoma,D009357: Neonatal Abstinence Syndrome,D011618: Psychotic Disorders,D012559: Schizophrenia,D045169: Severe Acute Respiratory Syndrome	HTR2A	M6	-0.331620513668982
P35916	NA	NA	NA	NA	AXITINIB	Vascular endothelial growth factor receptor inhibitor	INHIBITOR	2012	CHEMBL2095227	104799	P35916	Vascular endothelial growth factor receptor 3	Homo sapiens	D000306: Adrenal Cortex Neoplasms,D001661: Biliary Tract Neoplasms,D001752: Blast Crisis,D001943: Breast Neoplasms,D002276: Carcinoid Tumor,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D003528: Carcinoma, Adenoid Cystic,D004715: Endometriosis,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D007680: Kidney Neoplasms,D008545: Melanoma,D008654: Mesothelioma,D009190: Myelodysplastic Syndromes,D009303: Nasopharyngeal Neoplasms,D009369: Neoplasms,D010190: Pancreatic Neoplasms,D011471: Prostatic Neoplasms,D012468: Salivary Gland Neoplasms,D012509: Sarcoma,D013274: Stomach Neoplasms,D013964: Thyroid Neoplasms,D015179: Colorectal Neoplasms,D015470: Leukemia, Myeloid, Acute,D016889: Endometrial Neoplasms,D018234: Sarcoma, Alveolar Soft Part,D018316: Gliosarcoma,D021441: Carcinoma, Pancreatic Ductal,D046152: Gastrointestinal Stromal Tumors,D054364: Solitary Fibrous Tumors,D064129: Prostatic Neoplasms, Castration-Resistant	FLT4	M6	-0.317525918303734
P35462	NA	NA	NA	NA	CHLORPROMAZINE	D2-like dopamine receptor antagonist	ANTAGONIST	1957	CHEMBL2331075	105671	P35462	D(3) dopamine receptor	Homo sapiens	D003693: Delirium,D005909: Glioblastoma,D009357: Neonatal Abstinence Syndrome,D011618: Psychotic Disorders,D012559: Schizophrenia,D045169: Severe Acute Respiratory Syndrome	DRD3	M6	-0.331620513668982
P35968	NA	NA	NA	NA	AXITINIB	Vascular endothelial growth factor receptor inhibitor	INHIBITOR	2012	CHEMBL2095227	104799	P35968	Vascular endothelial growth factor receptor 2	Homo sapiens	D000306: Adrenal Cortex Neoplasms,D001661: Biliary Tract Neoplasms,D001752: Blast Crisis,D001943: Breast Neoplasms,D002276: Carcinoid Tumor,D002277: Carcinoma,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D003528: Carcinoma, Adenoid Cystic,D004715: Endometriosis,D005909: Glioblastoma,D006528: Carcinoma, Hepatocellular,D007680: Kidney Neoplasms,D008545: Melanoma,D008654: Mesothelioma,D009190: Myelodysplastic Syndromes,D009303: Nasopharyngeal Neoplasms,D009369: Neoplasms,D010190: Pancreatic Neoplasms,D011471: Prostatic Neoplasms,D012468: Salivary Gland Neoplasms,D012509: Sarcoma,D013274: Stomach Neoplasms,D013964: Thyroid Neoplasms,D015179: Colorectal Neoplasms,D015470: Leukemia, Myeloid, Acute,D016889: Endometrial Neoplasms,D018234: Sarcoma, Alveolar Soft Part,D018316: Gliosarcoma,D021441: Carcinoma, Pancreatic Ductal,D046152: Gastrointestinal Stromal Tumors,D054364: Solitary Fibrous Tumors,D064129: Prostatic Neoplasms, Castration-Resistant	KDR	M6	-0.317525918303734
P23975	NA	NA	NA	NA	PHENTERMINE	Norepinephrine transporter releasing agent	RELEASING AGENT	1959	CHEMBL222	100	P23975	Sodium-dependent noradrenaline transporter	Homo sapiens	D003920: Diabetes Mellitus,D007674: Kidney Diseases,D008107: Liver Diseases,D009765: Obesity,D009767: Obesity, Morbid,D019966: Substance-Related Disorders,D052018: Bulimia Nervosa	SLC6A2	M6	-0.308290239820601
Q15842	NA	NA	NA	NA	DIAZOXIDE	Potassium channel, inwardly rectifying, subfamily J, member 8 opener	OPENER	1973	CHEMBL4770	10891	Q15842	ATP-sensitive inward rectifier potassium channel 8	Homo sapiens	D003866: Depressive Disorder,D003924: Diabetes Mellitus, Type 2,D006946: Hyperinsulinism,D006973: Hypertension,D007003: Hypoglycemia,D009765: Obesity	KCNJ8	M6	-0.325093588902554
