QueryIDs	chembl_id	molregno	PubChem_ID	DrugBank_ID	Drug_Name	MOA	Action_Type	First_Approval	ChEMBL_TID	TID	UniProt_ID	Desc	Organism	Mesh_Indication	hgnc_symbol	module
Q15116	NA	NA	NA	NA	CEMIPLIMAB	Programmed cell death protein 1 inhibitor	INHIBITOR	2018	CHEMBL3307223	108437	Q15116	Programmed cell death protein 1	Homo sapiens	D000080443: Diffuse Intrinsic Pontine Glioma,D001943: Breast Neoplasms,D002280: Carcinoma, Basal Cell,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D002583: Uterine Cervical Neoplasms,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D006394: Hemangiosarcoma,D006689: Hodgkin Disease,D008223: Lymphoma,D008545: Melanoma,D009101: Multiple Myeloma,D009362: Neoplasm Metastasis,D009369: Neoplasms,D009959: Oropharyngeal Neoplasms,D010051: Ovarian Neoplasms,D010190: Pancreatic Neoplasms,D015658: HIV Infections,D019694: Hepatitis B, Chronic,D064129: Prostatic Neoplasms, Castration-Resistant	PDCD1	M1
Q15116	NA	NA	NA	NA	DOSTARLIMAB	Programmed cell death protein 1 antagonist	ANTAGONIST	2021	CHEMBL3307223	108437	Q15116	Programmed cell death protein 1	Homo sapiens	D001943: Breast Neoplasms,D002289: Carcinoma, Non-Small-Cell Lung,D002583: Uterine Cervical Neoplasms,D006258: Head and Neck Neoplasms,D006394: Hemangiosarcoma,D008113: Liver Neoplasms,D008545: Melanoma,D009101: Multiple Myeloma,D009369: Neoplasms,D010051: Ovarian Neoplasms,D010190: Pancreatic Neoplasms,D012004: Rectal Neoplasms,D012509: Sarcoma,D016889: Endometrial Neoplasms,D021441: Carcinoma, Pancreatic Ductal,D055752: Small Cell Lung Carcinoma,D061325: Hereditary Breast and Ovarian Cancer Syndrome	PDCD1	M1
P13942	NA	NA	NA	NA	OCRIPLASMIN	Collagen hydrolytic enzyme	HYDROLYTIC ENZYME	2010	CHEMBL2364188	106167	P13942	Collagen alpha-2(XI) chain	Homo sapiens	D005128: Eye Diseases,D008268: Macular Degeneration,D012167: Retinal Perforations,D012170: Retinal Vein Occlusion,D014605: Uveitis,D020246: Venous Thrombosis,D020521: Stroke	COL11A2	M1
P13942	NA	NA	NA	NA	COLLAGENASE CLOSTRIDIUM HISTOLYTICUM	Collagen hydrolytic enzyme	HYDROLYTIC ENZYME	2010	CHEMBL2364188	106167	P13942	Collagen alpha-2(XI) chain	Homo sapiens	D002062: Bursitis,D003286: Contracture,D003668: Pressure Ulcer,D004387: Dupuytren Contracture,D008067: Lipoma,D010411: Penile Induration,D012883: Skin Ulcer,D014456: Ulcer,D014525: Urethral Stricture,D017719: Diabetic Foot,D052256: Tendinopathy	COL11A2	M1
P49720	NA	NA	NA	NA	BORTEZOMIB	26S proteosome inhibitor	INHIBITOR	2003	CHEMBL2364701	106197	P49720	Proteasome subunit beta type-3	Homo sapiens	D000075122: Smoldering Multiple Myeloma,D000077192: Adenocarcinoma of Lung,D000686: Amyloidosis,D000754: Anemia, Refractory, with Excess of Blasts,D001254: Astrocytoma,D001749: Urinary Bladder Neoplasms,D001943: Breast Neoplasms,D001989: Bronchiolitis Obliterans,D002051: Burkitt Lymphoma,D002282: Adenocarcinoma, Bronchiolo-Alveolar,D002289: Carcinoma, Non-Small-Cell Lung,D002292: Carcinoma, Renal Cell,D002294: Carcinoma, Squamous Cell,D002583: Uterine Cervical Neoplasms,D003528: Carcinoma, Adenoid Cystic,D004672: Encephalitis, Japanese,D004938: Esophageal Neoplasms,D005185: Fallopian Tube Neoplasms,D005871: Castleman Disease,D005909: Glioblastoma,D005910: Glioma,D006086: Graft vs Host Disease,D006258: Head and Neck Neoplasms,D006528: Carcinoma, Hepatocellular,D006689: Hodgkin Disease,D007119: Immunoblastic Lymphadenopathy,D007154: Immune System Diseases,D007680: Kidney Neoplasms,D007938: Leukemia,D007952: Leukemia, Plasma Cell,D008175: Lung Neoplasms,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008228: Lymphoma, Non-Hodgkin,D008232: Lymphoproliferative Disorders,D008258: Waldenstrom Macroglobulinemia,D008545: Melanoma,D008654: Mesothelioma,D009101: Multiple Myeloma,D009136: Muscular Dystrophies,D009182: Mycosis Fungoides,D009190: Myelodysplastic Syndromes,D009196: Myeloproliferative Disorders,D009303: Nasopharyngeal Neoplasms,D009369: Neoplasms,D009447: Neuroblastoma,D009471: Neuromyelitis Optica,D009837: Oligodendroglioma,D010051: Ovarian Neoplasms,D010190: Pancreatic Neoplasms,D010534: Peritoneal Neoplasms,D010954: Plasmacytoma,D011471: Prostatic Neoplasms,D012010: Red-Cell Aplasia, Pure,D012509: Sarcoma,D012751: Sezary Syndrome,D013274: Stomach Neoplasms,D013964: Thyroid Neoplasms,D014511: Uremia,D014516: Ureteral Neoplasms,D014523: Urethral Neoplasms,D015179: Colorectal Neoplasms,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015456: Leukemia, Biphenotypic, Acute,D015459: Leukemia-Lymphoma, Adult T-Cell,D015464: Leukemia, Myelogenous, Chronic, BCR-ABL Positive,D015470: Leukemia, Myeloid, Acute,D015473: Leukemia, Promyelocytic, Acute,D016403: Lymphoma, Large B-Cell, Diffuse,D016411: Lymphoma, T-Cell, Peripheral,D016483: Lymphoma, AIDS-Related,D016543: Central Nervous System Neoplasms,D016553: Purpura, Thrombocytopenic, Idiopathic,D017728: Lymphoma, Large-Cell, Anaplastic,D018263: Adenocarcinoma, Follicular,D018276: Carcinoma, Medullary,D018281: Cholangiocarcinoma,D018316: Gliosarcoma,D018442: Lymphoma, B-Cell, Marginal Zone,D019337: Hematologic Neoplasms,D020522: Lymphoma, Mantle-Cell,D021441: Carcinoma, Pancreatic Ductal,D023981: Sarcoma, Myeloid,D028226: Amyloidosis, Familial,D051436: Renal Insufficiency, Chronic,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D064129: Prostatic Neoplasms, Castration-Resistant	PSMB3	M1
P49720	NA	NA	NA	NA	CARFILZOMIB	26S proteosome inhibitor	INHIBITOR	2009	CHEMBL2364701	106197	P49720	Proteasome subunit beta type-3	Homo sapiens	D000686: Amyloidosis,D006086: Graft vs Host Disease,D006689: Hodgkin Disease,D007680: Kidney Neoplasms,D007938: Leukemia,D007952: Leukemia, Plasma Cell,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008228: Lymphoma, Non-Hodgkin,D008258: Waldenstrom Macroglobulinemia,D009101: Multiple Myeloma,D009182: Mycosis Fungoides,D009369: Neoplasms,D010954: Plasmacytoma,D012751: Sezary Syndrome,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015463: Leukemia, Prolymphocytic,D016403: Lymphoma, Large B-Cell, Diffuse,D016411: Lymphoma, T-Cell, Peripheral,D018278: Carcinoma, Neuroendocrine,D020522: Lymphoma, Mantle-Cell,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D055752: Small Cell Lung Carcinoma,D064129: Prostatic Neoplasms, Castration-Resistant	PSMB3	M1
P49720	NA	NA	NA	NA	IXAZOMIB CITRATE	26S proteosome inhibitor	INHIBITOR	2015	CHEMBL2364701	106197	P49720	Proteasome subunit beta type-3	Homo sapiens	D001943: Breast Neoplasms,D005909: Glioblastoma,D006086: Graft vs Host Disease,D007952: Leukemia, Plasma Cell,D008223: Lymphoma,D008258: Waldenstrom Macroglobulinemia,D009101: Multiple Myeloma,D009369: Neoplasms,D010954: Plasmacytoma,D012514: Sarcoma, Kaposi,D015470: Leukemia, Myeloid, Acute,D020522: Lymphoma, Mantle-Cell,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma	PSMB3	M1
P07947	NA	NA	NA	NA	DASATINIB	SRC inhibitor	INHIBITOR	2006	CHEMBL2363074	105769	P07947	Tyrosine-protein kinase Yes	Homo sapiens	D000080443: Diffuse Intrinsic Pontine Glioma,D000544: Alzheimer Disease,D001932: Brain Neoplasms,D001943: Breast Neoplasms,D002051: Burkitt Lymphoma,D002289: Carcinoma, Non-Small-Cell Lung,D002294: Carcinoma, Squamous Cell,D003110: Colonic Neoplasms,D003528: Carcinoma, Adenoid Cystic,D005185: Fallopian Tube Neoplasms,D005909: Glioblastoma,D005910: Glioma,D006103: Granuloma, Lethal Midline,D006258: Head and Neck Neoplasms,D006528: Carcinoma, Hepatocellular,D006689: Hodgkin Disease,D007119: Immunoblastic Lymphadenopathy,D007938: Leukemia,D007943: Leukemia, Hairy Cell,D007945: Leukemia, Lymphoid,D007951: Leukemia, Myeloid,D008175: Lung Neoplasms,D008223: Lymphoma,D008224: Lymphoma, Follicular,D008228: Lymphoma, Non-Hodgkin,D008258: Waldenstrom Macroglobulinemia,D008545: Melanoma,D008654: Mesothelioma,D009101: Multiple Myeloma,D009182: Mycosis Fungoides,D009190: Myelodysplastic Syndromes,D009369: Neoplasms,D009447: Neuroblastoma,D010051: Ovarian Neoplasms,D010190: Pancreatic Neoplasms,D010534: Peritoneal Neoplasms,D010871: Pinealoma,D011087: Polycythemia Vera,D011471: Prostatic Neoplasms,D012004: Rectal Neoplasms,D012208: Rhabdomyosarcoma,D012594: Scleroderma, Localized,D012751: Sezary Syndrome,D015179: Colorectal Neoplasms,D015451: Leukemia, Lymphocytic, Chronic, B-Cell,D015459: Leukemia-Lymphoma, Adult T-Cell,D015464: Leukemia, Myelogenous, Chronic, BCR-ABL Positive,D015470: Leukemia, Myeloid, Acute,D016403: Lymphoma, Large B-Cell, Diffuse,D016543: Central Nervous System Neoplasms,D016889: Endometrial Neoplasms,D017728: Lymphoma, Large-Cell, Anaplastic,D018281: Cholangiocarcinoma,D018316: Gliosarcoma,D018442: Lymphoma, B-Cell, Marginal Zone,D020522: Lymphoma, Mantle-Cell,D034721: Mastocytosis, Systemic,D046152: Gastrointestinal Stromal Tumors,D051436: Renal Insufficiency, Chronic,D054066: Leukemia, Large Granular Lymphocytic,D054198: Precursor Cell Lymphoblastic Leukemia-Lymphoma,D054990: Idiopathic Pulmonary Fibrosis,D055752: Small Cell Lung Carcinoma,D064129: Prostatic Neoplasms, Castration-Resistant	YES1	M1
Q96F46	NA	NA	NA	NA	BRODALUMAB	Interleukin-17 receptor A antagonist	ANTAGONIST	2017	CHEMBL3580485	109781	Q96F46	Interleukin-17 receptor A	Homo sapiens	D001172: Arthritis, Rheumatoid,D001249: Asthma,D003424: Crohn Disease,D007154: Immune System Diseases,D011565: Psoriasis,D012595: Scleroderma, Systemic,D013167: Spondylitis, Ankylosing,D015535: Arthritis, Psoriatic,D017497: Hidradenitis Suppurativa	IL17RA	M1
P39086	NA	NA	NA	NA	TOPIRAMATE	Glutamate receptor ionotropic kainate antagonist	ANTAGONIST	1996	CHEMBL2109241	104902	P39086	Glutamate receptor ionotropic, kainate 1	Homo sapiens	D000428: Alcohol Drinking,D000437: Alcoholism,D001007: Anxiety,D001068: Feeding and Eating Disorders,D001714: Bipolar Disorder,D002032: Bulimia,D002189: Marijuana Abuse,D002545: Brain Ischemia,D003704: Dementia,D003866: Depressive Disorder,D003920: Diabetes Mellitus,D003924: Diabetes Mellitus, Type 2,D004827: Epilepsy,D004828: Epilepsies, Partial,D004830: Epilepsy, Tonic-Clonic,D005715: Gambling,D005879: Tourette Syndrome,D006261: Headache,D006949: Hyperlipidemias,D006973: Hypertension,D008107: Liver Diseases,D008881: Migraine Disorders,D009103: Multiple Sclerosis,D009765: Obesity,D009771: Obsessive-Compulsive Disorder,D010146: Pain,D010300: Parkinson Disease,D011218: Prader-Willi Syndrome,D012559: Schizophrenia,D012585: Sciatica,D012640: Seizures,D013313: Stress Disorders, Post-Traumatic,D014029: Tobacco Use Disorder,D015228: Hypertriglyceridemia,D016540: Smoking Cessation,D019969: Amphetamine-Related Disorders,D019970: Cocaine-Related Disorders,D020329: Essential Tremor,D024821: Metabolic Syndrome,D052018: Bulimia Nervosa,D060825: Cognitive Dysfunction,D065630: Hernias, Diaphragmatic, Congenital,D065768: Lennox Gastaut Syndrome	GRIK1	M1
